year,category,usd_pledged
2014,Art,1
2014,Comics,1
2014,Crafts,1
2014,Design,1
2014,Fashion,1
2014,FilmVideo,1
2014,Food,1
2014,Games,739513
2014,Journalism,1
2014,Music,1
2014,Photography,1
2014,Publishing,1
2014,Technology,1
2014,Theater,1
2015,Art,70873
2015,Comics,1
2015,Crafts,1
2015,Design,53536255.73
2015,Fashion,1
2015,FilmVideo,7010392.38
2015,Food,1512166
2015,Games,54020133.71
2015,Journalism,63725
2015,Music,1
2015,Photography,1
2015,Publishing,1
2015,Technology,28717363.83
2015,Theater,1
2016,Art,1973209
2016,Comics,1
2016,Crafts,1
2016,Design,21213193.04
2016,Fashion,272529.5
2016,FilmVideo,1563494.31
2016,Food,3072460.52
2016,Games,19652795.77
2016,Journalism,194635.65
2016,Music,83265
2016,Photography,23148
2016,Publishing,1
2016,Technology,18138813.42
2016,Theater,1
2017,Art,2368709.45
2017,Comics,5977
2017,Crafts,75
2017,Design,3984163.72
2017,Fashion,354662.15
2017,FilmVideo,84162.76
2017,Food,91622
2017,Games,16470115.39
2017,Journalism,5096
2017,Music,750
2017,Photography,27184
2017,Publishing,250
2017,Technology,4884482.74
2017,Theater,206
