name,main_category,deadline,goal,launched,year,launched2,pledged,state,backers,usd pledged,usd_pledged_real,usd_goal_real,data_diff_days
#AirMyGlobalWarmingAd,FilmVideo,12/23/17,5500000,12/11/17 8:44,2017,12/11/11 8:44,53793.5,failed,823,4511,53793.5,5500000,12
33 1/3 ´è_´è_´è_ House of Dreams | A Jukebox Musical,Theater,1/2/18,150000,11/19/17 22:09,2017,11/19/11 22:09,53910,failed,74,100,53910,150000,44
Swiss Movement Watches without the Luxury Markup,Design,12/17/17,25000,11/16/17 15:44,2017,11/16/11 15:44,959437,successful,3597,503739,959437,25000,31
Critical Thinking Vs. A Post-truth World,FilmVideo,12/13/17,71500,11/15/17 13:46,2017,11/15/11 13:46,29644.76,failed,395,3942.76,29644.76,71500,28
ELBAFLEX 35mm True Analog Camera: History Reloaded,Photography,12/4/17,50000,11/14/17 15:58,2017,11/14/11 15:58,29868,failed,65,27184,29868,50000,20
FINDING KAI - a documentary feature,FilmVideo,12/22/17,61500,11/9/17 6:19,2017,11/9/11 6:19,38989,failed,267,32,38989,61500,43
A Girls Technical School In Sub-Saharan Africa.,Crafts,12/13/17,75000,11/8/17 6:49,2017,11/8/11 6:49,29802,failed,196,75,29802,75000,35
QUARTZ Bottle - Water Purification in a Self-Cleaning Bottle,Technology,12/7/17,30000,11/7/17 13:57,2017,11/7/11 13:57,1374021,successful,12758,56023,1374021,30000,30
"Greatest Hits Revamped: Capture, Slide, and Slide Lite",Design,11/11/17,100000,11/6/17 15:09,2017,11/6/11 15:09,1330583.85,successful,12196,399284.95,1330583.85,100000,5
Rezivot Instant Film Processor,Design,12/17/17,230000,11/2/17 12:02,2017,11/2/11 12:02,57457,failed,232,21868,57457,230000,45
eVscope | 100 times more powerful than a classical telescope,Technology,11/24/17,150000,10/25/17 15:49,2017,10/25/11 15:49,2209270,successful,2144,152451,2209270,150000,30
If Zach Braff can do it...,FilmVideo,12/1/17,100108,10/22/17 17:06,2017,10/22/11 17:06,50886.8,failed,77,10730,50886.8,100108,40
Metropoulos Metro-Plex 50 watt head and combo project,Technology,12/11/17,125000,10/19/17 23:20,2017,10/19/11 23:20,30521,failed,31,366,30521,125000,53
BLINDSIDED by the Walking Dead - BBTWD,Theater,11/18/17,96000,10/19/17 12:03,2017,10/19/11 12:03,30380,failed,99,106,30380,96000,30
"Wiral LITE | The Easy Cable Cam, For Impossible Film Shots",Technology,11/16/17,30000,10/17/17 17:55,2017,10/17/11 17:55,1055480.02,successful,4126,143654.96,1055480.02,30000,30
3Dazer Smart Laser Measurer,Technology,11/15/17,30000,10/16/17 9:20,2017,10/16/11 9:20,27748,failed,57,15,27748,30000,30
Time of Legends: Joan of Arc,Games,11/10/17,100000,10/10/17 21:00,2017,10/10/11 21:00,2152285.02,successful,9987,355231,2152285.02,100000,31
Goliath CNC - An Autonomous Robotic Machine Tool for Makers,Technology,11/18/17,90000,10/3/17 18:11,2017,10/3/11 18:11,1072544,successful,716,197940,1072544,90000,46
EOZ Air - World's Most Advanced True Wireless Earphones,Technology,11/13/17,40000,10/3/17 15:32,2017,10/3/11 15:32,1050200,successful,9099,58172,1050200,40000,41
"THE 7th CONTINENT ´è_´è_´è_ What Goes Up, Must Come Down.",Games,10/19/17,40000,9/26/17 20:00,2017,9/26/11 20:00,7072757,successful,43733,1574139.5,7072757,40000,23
Pimax: The World's First 8K VR Headset,Technology,11/3/17,200000,9/19/17 19:02,2017,9/19/11 19:02,4236618.49,successful,5946,608194,4236618.49,200000,45
The Commuter Collection,Design,11/18/17,80000,9/19/17 16:33,2017,9/19/11 16:33,36096,failed,183,225,36096,80000,60
POWERUP DART - App Controlled Paper Airplane. With Tricks.,Technology,10/18/17,25000,9/12/17 15:30,2017,9/12/11 15:30,1678290,successful,24066,849,1678290,25000,36
KOBRA Flash Modifier System,Technology,10/4/17,125000,9/4/17 17:30,2017,9/4/11 17:30,37296,failed,458,1246,37296,125000,30
Primus 7: Prologue Episode,FilmVideo,9/24/17,125000,8/25/17 20:46,2017,8/25/11 20:46,36315,failed,262,22,36315,125000,30
Brokerage Brewing Company,Food,9/24/17,30000,8/25/17 15:42,2017,8/25/11 15:42,29250,failed,82,6100,29250,30000,30
Table of Ultimate Gaming: The Ultimate Game Table System,Games,9/28/17,25000,8/24/17 17:05,2017,8/24/11 17:05,1237618.76,successful,1457,372108,1237618.76,25000,35
Initiative | Aerospace Business & Mars Colonization Sim,Games,9/22/17,55000,8/22/17 17:50,2017,8/22/11 17:50,42557,failed,787,6712,42557,55000,31
Unstable Unicorns,Games,9/16/17,10000,8/17/17 1:40,2017,8/17/11 1:40,1865140.89,successful,33720,35,1865140.89,10000,30
Cubiio: The Most Compact Laser Engraver,Technology,9/20/17,25000,8/15/17 16:02,2017,8/15/11 16:02,1373680.11,successful,3432,97113,1373680.11,25000,36
The world's first $9 IoT Platform,Technology,9/14/17,38000,8/15/17 11:56,2017,8/15/11 11:56,30658,failed,686,782,30658,38000,30
Reaper Miniatures Bones 4: Mr. Bones EPIC Adventure!,Games,9/3/17,30000,8/1/17 19:01,2017,8/1/11 19:01,3051004.08,successful,16200,577678.66,3051004.08,30000,33
Royelles ´è_´è_´è_ More Than Just a Doll,Design,8/31/17,100000,8/1/17 16:11,2017,8/1/11 16:11,60685,failed,244,8313,60685,100000,30
VALERIE - The Valerie Perrine Documentary,FilmVideo,8/29/17,75000,7/30/17 22:12,2017,7/30/11 22:12,30080,failed,90,1250,30080,75000,30
A Song of Ice & Fire: Tabletop Miniatures Game,Games,8/16/17,300000,7/25/17 21:00,2017,7/25/11 21:00,1690466,successful,9040,596671.02,1690466,300000,22
Algobrix | The Ultimate Coding Learning Game,Technology,9/21/17,50000,7/25/17 16:44,2017,7/25/11 16:44,1153514.23,successful,3696,12980,1153514.23,50000,58
High-Tech Heels & Flats that Feel Like Sneakers Inside,Design,9/3/17,50000,7/25/17 13:37,2017,7/25/11 13:37,1845714,successful,6989,1874,1845714,50000,40
"Metro6, a beautifully made film. Rolling to a stop near you.",FilmVideo,9/2/17,60000,7/25/17 3:19,2017,7/25/11 3:19,47706,failed,146,510,47706,60000,39
Cthulhu Wars Onslaught 3,Games,8/15/17,100000,7/17/17 14:59,2017,7/17/11 14:59,1076211,successful,4130,239119,1076211,100000,29
